Gene.symbol,ID,adj.P.Val,P.Value,t,B,logFC,Gene.title
TGFBI,A_23_P156327,1.55E-07,1.63E-10,7.27858,13.664404,4.4066629,transforming growth factor beta induced
SFRP1,A_23_P10127,2.01E-07,2.16E-10,-7.21641,13.396335,-3.4375889,secreted frizzled related protein 1
ANXA9,A_23_P103617,2.65E-07,2.91E-10,7.150367,13.112074,4.4593893,annexin A9
CHGB,A_23_P57155,2.65E-07,2.97E-10,-7.145756,13.092246,-3.7406338,chromogranin B
,A_24_P610405,2.73E-07,3.12E-10,7.134696,13.044701,2.9589332,
HKDC1,A_23_P202427,2.75E-07,3.22E-10,7.127819,13.015147,3.720053,hexokinase domain containing 1
NFE2L3,A_23_P42718,3.20E-07,3.83E-10,7.089754,12.85167,3.1331877,"nuclear factor, erythroid 2 like 3"
SPIB,A_23_P39067,3.34E-07,4.15E-10,-7.072204,12.776365,-4.6010278,Spi-B transcription factor
LINC00525,A_23_P8363,3.34E-07,4.16E-10,7.071568,12.773636,4.4506487,long intergenic non-protein coding RNA 525
TMPRSS3,A_23_P80162,3.78E-07,4.79E-10,7.040025,12.638391,4.4514697,"transmembrane protease, serine 3"
CEMIP,A_23_P324754,4.21E-07,5.44E-10,7.012195,12.51918,4.7898356,cell migration inducing hyaluronan binding protein
DUSP14,A_23_P207537,4.42E-07,5.93E-10,6.99307,12.437322,2.9665472,dual specificity phosphatase 14
COL12A1,A_23_P214168,4.42E-07,5.93E-10,6.992791,12.436125,4.3856827,collagen type XII alpha 1 chain
WISP1,A_24_P372189,4.68E-07,6.39E-10,6.97623,12.365286,4.3380133,WNT1 inducible signaling pathway protein 1
,A_24_P50139,4.80E-07,6.67E-10,6.966908,12.325425,4.2320644,
CEMIP,A_32_P161855,6.46E-07,9.14E-10,6.896748,12.025848,4.5472267,cell migration inducing hyaluronan binding protein
DSCAML1,A_23_P47340,6.84E-07,9.84E-10,-6.880485,11.956511,-3.0635101,DS cell adhesion molecule like 1
SLC29A1,A_23_P133694,7.29E-07,1.07E-09,6.86251,11.879925,2.8486099,solute carrier family 29 member 1 (Augustine blood group)
C4orf48,A_32_P90047,7.37E-07,1.10E-09,6.856459,11.854153,2.1676964,chromosome 4 open reading frame 48
,A_32_P77571,8.00E-07,1.21E-09,-6.83451,11.760721,-4.2413686,
GTF2IRD1,A_23_P111621,8.39E-07,1.30E-09,6.817778,11.689552,2.3082654,GTF2I repeat domain containing 1
SULT2B1,A_23_P107981,8.39E-07,1.31E-09,6.816662,11.684805,3.844539,sulfotransferase family 2B member 1
NR1D2,A_24_P943472,1.01E-06,1.60E-09,6.772304,11.496348,2.9398602,nuclear receptor subfamily 1 group D member 2
PERP,A_23_P214950,1.03E-06,1.65E-09,6.764697,11.464064,2.5533388,"PERP, TP53 apoptosis effector"
SH2D6,A_24_P120147,1.03E-06,1.69E-09,-6.760444,11.446019,-4.4031014,SH2 domain containing 6
ATP11A,A_24_P161973,1.26E-06,2.09E-09,6.712782,11.243985,3.0553774,ATPase phospholipid transporting 11A
OLFML2B,A_24_P248345,1.28E-06,2.19E-09,6.70209,11.198715,3.1639087,olfactomedin like 2B
FAM89A,A_24_P418408,1.28E-06,2.19E-09,6.701822,11.197582,2.5539314,family with sequence similarity 89 member A
PITX2,A_23_P167367,1.37E-06,2.38E-09,6.683516,11.120121,5.4534871,paired like homeodomain 2
MET,A_23_P359245,1.37E-06,2.40E-09,6.6813,11.110749,2.5069173,"MET proto-oncogene, receptor tyrosine kinase"
SLC22A3,A_23_P19733,1.44E-06,2.57E-09,6.665559,11.044197,4.7117424,solute carrier family 22 member 3
CHGB,A_23_P382584,1.44E-06,2.60E-09,-6.663052,11.033604,-5.1521098,chromogranin B
HPGDS,A_23_P10506,1.44E-06,2.65E-09,-6.658765,11.015487,-3.4345133,hematopoietic prostaglandin D synthase
DPEP1,A_23_P152262,1.44E-06,2.66E-09,6.657831,11.011539,6.9901351,dipeptidase 1 (renal)
SNN,A_23_P152160,1.44E-06,2.71E-09,6.654214,10.996259,2.666378,stannin
MACC1,A_32_P158272,1.46E-06,2.77E-09,6.648984,10.974167,2.9549836,metastasis associated in colon cancer 1
MMP28,A_23_P26890,1.54E-06,2.96E-09,-6.633836,10.910211,-3.0600578,matrix metallopeptidase 28
NEBL,A_23_P104522,1.60E-06,3.13E-09,6.621626,10.858685,2.8582647,nebulette
C6orf1,A_23_P81993,1.68E-06,3.31E-09,6.608838,10.804754,2.18797,chromosome 6 open reading frame 1
BICD2,A_24_P419120,1.85E-06,3.70E-09,6.584315,10.701413,2.4432095,BICD cargo adaptor 2
NR1D2,A_23_P302709,1.92E-06,3.90E-09,6.572433,10.651383,2.4855848,nuclear receptor subfamily 1 group D member 2
KRTAP13-2,A_24_P314534,1.98E-06,4.06E-09,-6.563325,10.613049,-2.8071442,keratin associated protein 13-2
SLC4A4,A_32_P349145,2.05E-06,4.26E-09,-6.552417,10.567165,-3.807942,solute carrier family 4 member 4
MMP11,A_23_P57417,2.08E-06,4.36E-09,6.546943,10.544141,4.0147772,matrix metallopeptidase 11
COL12A1,A_24_P291814,2.14E-06,4.53E-09,6.538181,10.507311,4.5861034,collagen type XII alpha 1 chain
ABCC8,A_23_P24774,2.29E-06,4.96E-09,-6.517971,10.422405,-2.705918,ATP binding cassette subfamily C member 8
RHEB,A_23_P134247,2.29E-06,4.98E-09,6.517092,10.418715,2.4179007,Ras homolog enriched in brain
,A_24_P230358,2.59E-06,5.69E-09,6.487023,10.292542,3.1433459,
BFSP1,A_23_P109171,2.69E-06,5.97E-09,6.47624,10.247344,3.1947907,beaded filament structural protein 1
PACSIN3,A_24_P381136,2.69E-06,6.10E-09,6.47137,10.226934,4.1867517,protein kinase C and casein kinase substrate in neurons 3
CSNK2A2,A_23_P14915,2.69E-06,6.11E-09,6.470732,10.22426,2.2367192,casein kinase 2 alpha 2
,A_32_P11673,3.29E-06,7.61E-09,-6.420962,10.015982,-3.6303902,
SLC4A4,A_23_P22205,3.29E-06,7.62E-09,-6.420725,10.014994,-5.480319,solute carrier family 4 member 4
,A_32_P190864,3.34E-06,7.81E-09,6.415064,9.991336,3.5960621,
CBFB,A_23_P113634,3.54E-06,8.37E-09,6.399381,9.925829,2.2569624,core-binding factor beta subunit
MUC2,A_24_P84657,3.57E-06,8.52E-09,-6.395366,9.909065,-4.0705647,"mucin 2, oligomeric mucus/gel-forming"
CKAP2,A_23_P151405,3.90E-06,9.43E-09,6.372428,9.813368,2.659238,cytoskeleton associated protein 2
NR4A2,A_23_P131208,3.95E-06,9.64E-09,-6.367421,9.792491,-3.0757365,nuclear receptor subfamily 4 group A member 2
IL32,A_23_P15146,4.14E-06,1.02E-08,6.35479,9.739854,2.5254018,interleukin 32
PALD1,A_23_P161481,4.40E-06,1.10E-08,6.338301,9.671194,3.9197691,"phosphatase domain containing, paladin 1"
MZT1,A_32_P9382,4.44E-06,1.12E-08,6.33423,9.654249,2.8287417,mitotic spindle organizing protein 1
ZNF217,A_23_P210608,4.44E-06,1.13E-08,6.331997,9.644958,2.0937997,zinc finger protein 217
PTPN12,A_23_P8763,4.44E-06,1.14E-08,6.329706,9.635427,2.2147416,"protein tyrosine phosphatase, non-receptor type 12"
GTF2IRD1,A_23_P257694,4.70E-06,1.21E-08,6.314909,9.573887,3.0185748,GTF2I repeat domain containing 1
,A_24_P383769,4.72E-06,1.23E-08,6.311589,9.560084,2.6858111,
NAP1L1,A_23_P53646,4.82E-06,1.27E-08,6.304619,9.531118,2.3708027,nucleosome assembly protein 1 like 1
BBC3,A_23_P382775,5.27E-06,1.41E-08,6.280878,9.432538,1.9015775,BCL2 binding component 3
CFAP97,A_23_P318581,5.27E-06,1.42E-08,6.279753,9.427868,2.2226361,cilia and flagella associated protein 97
FAM60A,A_32_P103837,5.27E-06,1.43E-08,6.278201,9.421426,2.3242308,family with sequence similarity 60 member A
,A_32_P30345,5.30E-06,1.46E-08,6.273393,9.401481,3.2766689,
IMMP2L,A_32_P87872,5.30E-06,1.46E-08,6.272832,9.399152,2.5327909,inner mitochondrial membrane peptidase subunit 2
RB1CC1,A_23_P9056,5.37E-06,1.49E-08,6.267484,9.376972,2.3027709,RB1 inducible coiled-coil 1
ZP3,A_23_P134419,5.38E-06,1.51E-08,6.265207,9.367532,2.836666,zona pellucida glycoprotein 3 (sperm receptor)
MIR7-3HG,A_23_P353667,5.59E-06,1.58E-08,-6.254672,9.323862,-2.3041139,MIR7-3 host gene
,A_24_P482189,6.19E-06,1.77E-08,6.229314,9.218852,2.3055353,
ZNF92,A_23_P501080,6.29E-06,1.81E-08,6.223588,9.195159,2.1003018,zinc finger protein 92
RAP2A,A_24_P81965,6.73E-06,1.97E-08,6.204572,9.116536,2.4758934,"RAP2A, member of RAS oncogene family"
ANO6,A_23_P389118,6.73E-06,1.97E-08,6.204138,9.114742,2.6344418,anoctamin 6
,A_24_P144383,6.99E-06,2.06E-08,6.193591,9.071171,1.7733762,
KLF7,A_23_P67980,7.19E-06,2.14E-08,6.185463,9.037608,3.0970378,Kruppel like factor 7
COL4A1,A_23_P65240,7.24E-06,2.17E-08,6.181944,9.023084,2.9668455,collagen type IV alpha 1 chain
NEDD4,A_23_P331379,7.36E-06,2.24E-08,6.174689,8.993147,3.1100276,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase"
PPT1,A_23_P62659,7.36E-06,2.25E-08,6.173378,8.987735,2.5193697,palmitoyl-protein thioesterase 1
KCNAB2,A_24_P151,7.36E-06,2.28E-08,6.170989,8.977884,3.7970201,potassium voltage-gated channel subfamily A regulatory beta subunit 2
CLCA4,A_23_P45751,7.36E-06,2.29E-08,-6.169564,8.972005,-4.7051126,chloride channel accessory 4
POT1,A_23_P84610,7.36E-06,2.30E-08,6.168818,8.968929,2.0882233,protection of telomeres 1
TCF7,A_23_P7582,7.41E-06,2.33E-08,6.165678,8.95598,2.7313213,"transcription factor 7 (T-cell specific, HMG-box)"
CEBPB,A_23_P411296,7.46E-06,2.37E-08,6.161888,8.940355,2.1868024,CCAAT/enhancer binding protein beta
TTC26,A_23_P257668,7.46E-06,2.38E-08,6.160428,8.934335,2.9306183,tetratricopeptide repeat domain 26
SLC39A10,A_23_P119778,7.46E-06,2.40E-08,6.158789,8.92758,3.3132009,solute carrier family 39 member 10
,A_24_P401670,7.49E-06,2.43E-08,6.156201,8.916914,2.4240183,
HABP4,A_32_P79366,7.53E-06,2.46E-08,6.153086,8.904074,2.8154014,hyaluronan binding protein 4
EIF3E,A_32_P229760,7.66E-06,2.54E-08,6.146342,8.876294,3.1145584,eukaryotic translation initiation factor 3 subunit E
C2,A_23_P133916,7.66E-06,2.54E-08,6.145931,8.874599,4.1444584,complement component 2
C2,A_32_P162183,7.87E-06,2.63E-08,6.138039,8.842102,3.827883,complement component 2
ZNF706,A_24_P235305,7.87E-06,2.65E-08,6.136334,8.835083,2.0260867,zinc finger protein 706
ZAK,A_23_P366394,7.88E-06,2.69E-08,6.13241,8.818934,2.6978956,sterile alpha motif and leucine zipper containing kinase AZK
KCNMB4,A_23_P64792,7.88E-06,2.70E-08,6.132078,8.817564,4.6660142,potassium calcium-activated channel subfamily M regulatory beta subunit 4
CMSS1,A_23_P132874,7.88E-06,2.72E-08,6.129959,8.808847,2.7861024,cms1 ribosomal small subunit homolog (yeast)
EPSTI1,A_23_P105794,7.88E-06,2.74E-08,6.128507,8.802871,3.3222865,epithelial stromal interaction 1 (breast)
,A_24_P118855,7.88E-06,2.75E-08,6.12783,8.800084,1.6992041,
CAMSAP2,A_23_P406702,8.37E-06,2.94E-08,6.112153,8.735612,2.2366468,calmodulin regulated spectrin associated protein family member 2
PROCR,A_23_P80040,8.80E-06,3.11E-08,6.099249,8.682591,3.1623454,protein C receptor
COMMD6,A_24_P920521,9.20E-06,3.28E-08,6.087319,8.633607,2.6491037,COMM domain containing 6
PLEKHS1,A_23_P23980,9.43E-06,3.38E-08,6.080108,8.604014,3.7361451,pleckstrin homology domain containing S1
KIAA1462,A_23_P301521,9.47E-06,3.42E-08,6.077507,8.593343,3.0271372,KIAA1462
TGFB2,A_24_P148261,9.47E-06,3.44E-08,6.075895,8.586728,3.6216084,transforming growth factor beta 2
MACC1,A_32_P171923,9.49E-06,3.47E-08,6.073787,8.578084,3.0354912,metastasis associated in colon cancer 1
,A_24_P50472,9.69E-06,3.58E-08,6.066983,8.550186,1.8422877,
ASIC1,A_23_P204751,9.69E-06,3.60E-08,6.065769,8.545209,3.4413955,acid sensing ion channel subunit 1
HEBP1,A_23_P117082,9.69E-06,3.62E-08,6.064423,8.539692,2.0909489,heme binding protein 1
,A_32_P174214,1.04E-05,3.90E-08,6.047104,8.468741,2.4804195,
PHF20,A_23_P428835,1.05E-05,3.98E-08,6.042329,8.449189,2.278565,PHD finger protein 20
CA12,A_23_P163336,1.05E-05,3.99E-08,-6.0417,8.446615,-3.9529235,carbonic anhydrase 12
ZFAS1,A_24_P161463,1.05E-05,4.01E-08,6.040861,8.44318,1.9716222,ZNFX1 antisense RNA 1
UNC5C,A_23_P69617,1.07E-05,4.13E-08,-6.033643,8.413644,-3.033417,unc-5 netrin receptor C
SMKR1,A_32_P197053,1.07E-05,4.14E-08,6.033143,8.411598,3.9099908,small lysine rich protein 1
TTLL6,A_24_P361408,1.08E-05,4.21E-08,-6.029491,8.396659,-2.6412145,tubulin tyrosine ligase like 6
NEBL,A_24_P398147,1.09E-05,4.28E-08,6.025323,8.379613,2.672939,nebulette
FOLH1,A_23_P47616,1.10E-05,4.35E-08,6.022009,8.366066,3.6221451,folate hydrolase (prostate-specific membrane antigen) 1
POLR2K,A_23_P157452,1.10E-05,4.39E-08,6.019801,8.357036,2.3729421,RNA polymerase II subunit K
LOC400446,A_24_P289636,1.10E-05,4.39E-08,6.019415,8.35546,2.6011595,"PERP, TP53 apoptosis effector pseudogene"
RGS9,A_23_P66881,1.13E-05,4.55E-08,-6.011481,8.323036,-2.6642912,regulator of G-protein signaling 9
ZBED8,A_24_P166311,1.14E-05,4.62E-08,6.007641,8.307348,2.5479858,zinc finger BED-type containing 8
,A_23_P22086,1.14E-05,4.64E-08,6.007012,8.304781,2.9503098,
EIF3E,A_24_P206427,1.15E-05,4.73E-08,6.002458,8.286181,2.3146909,eukaryotic translation initiation factor 3 subunit E
PTGDR,A_23_P393777,1.17E-05,4.86E-08,-5.995967,8.259684,-4.5683731,prostaglandin D2 receptor
CA2,A_23_P8913,1.17E-05,4.87E-08,-5.995696,8.258577,-5.0863654,carbonic anhydrase 2
NFE2L3,A_24_P136653,1.18E-05,4.91E-08,5.993903,8.251259,3.7824889,"nuclear factor, erythroid 2 like 3"
IFITM4P,A_24_P16124,1.21E-05,5.06E-08,5.986629,8.22158,3.2793568,interferon induced transmembrane protein 4 pseudogene
PAIP1,A_24_P77681,1.21E-05,5.09E-08,5.98536,8.216403,2.2870261,poly(A) binding protein interacting protein 1
SPARC,A_23_P7642,1.22E-05,5.18E-08,5.981498,8.200656,3.3765976,secreted protein acidic and cysteine rich
,A_32_P184937,1.26E-05,5.40E-08,5.971753,8.160929,2.1950503,
NUDCD1,A_23_P123343,1.28E-05,5.51E-08,5.967134,8.142105,2.352837,NudC domain containing 1
RPL39,A_32_P220307,1.31E-05,5.69E-08,5.959277,8.110106,1.743283,ribosomal protein L39
NUDT3,A_23_P93389,1.31E-05,5.72E-08,5.958097,8.105301,1.8815582,nudix hydrolase 3
ASAP1,A_23_P44831,1.31E-05,5.73E-08,5.958023,8.105,2.6970282,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
,A_32_P9127,1.32E-05,5.78E-08,-5.955927,8.096463,-2.1514613,
COMMD6,A_32_P114215,1.33E-05,5.91E-08,5.950485,8.074312,1.9752617,COMM domain containing 6
CBX8,A_23_P55421,1.33E-05,5.96E-08,5.948848,8.06765,2.0942679,chromobox 8
PARD6B,A_32_P205637,1.33E-05,5.99E-08,5.947563,8.062421,2.4050945,par-6 family cell polarity regulator beta
,A_24_P145787,1.33E-05,5.99E-08,5.947558,8.062399,1.8155948,
UBE2H,A_23_P145584,1.35E-05,6.07E-08,5.94425,8.048943,2.2002112,ubiquitin conjugating enzyme E2 H
TGIF2,A_23_P79794,1.38E-05,6.24E-08,5.937829,8.022825,3.3554563,TGFB induced factor homeobox 2
RPL30,A_23_P123330,1.38E-05,6.31E-08,5.935519,8.013435,2.1286226,ribosomal protein L30
IMMP2L,A_24_P151622,1.42E-05,6.53E-08,5.927356,7.980253,2.3128892,inner mitochondrial membrane peptidase subunit 2
CPZ,A_23_P58251,1.47E-05,6.76E-08,5.919318,7.947599,3.5859011,carboxypeptidase Z
,A_32_P187975,1.47E-05,6.80E-08,5.918064,7.942504,1.8671491,
SMKR1,A_32_P197060,1.47E-05,6.86E-08,5.915992,7.934092,4.0128765,small lysine rich protein 1
PYY2,A_24_P233078,1.47E-05,6.87E-08,-5.915633,7.932632,-2.2498431,"peptide YY, 2 (pseudogene)"
APOBEC1,A_23_P14019,1.48E-05,6.95E-08,5.912847,7.921322,4.4567052,apolipoprotein B mRNA editing enzyme catalytic subunit 1
TATDN1,A_32_P224911,1.48E-05,6.99E-08,5.911423,7.915539,2.5633105,TatD DNase domain containing 1
ARMC10,A_32_P90080,1.49E-05,7.08E-08,5.908726,7.904595,2.064023,armadillo repeat containing 10
NR5A2,A_23_P161004,1.50E-05,7.18E-08,-5.905429,7.891214,-2.6903836,nuclear receptor subfamily 5 group A member 2
PLEKHS1,A_24_P286951,1.56E-05,7.50E-08,5.89514,7.849475,3.1860147,pleckstrin homology domain containing S1
AZGP1,A_23_P71270,1.57E-05,7.58E-08,5.8928,7.839991,3.2846078,"alpha-2-glycoprotein 1, zinc-binding"
MACC1,A_32_P131031,1.69E-05,8.21E-08,5.874078,7.764129,2.5212304,metastasis associated in colon cancer 1
,A_24_P144025,1.70E-05,8.31E-08,5.871099,7.752069,1.660209,
GTF2F2,A_23_P349817,1.70E-05,8.33E-08,5.870763,7.750707,2.1340178,general transcription factor IIF subunit 2
METTL5,A_23_P142634,1.71E-05,8.44E-08,5.867543,7.737672,2.0967831,methyltransferase like 5
LAMP2,A_23_P416608,1.71E-05,8.48E-08,5.866544,7.733631,2.5258981,lysosomal associated membrane protein 2
C11orf95,A_24_P876408,1.75E-05,8.68E-08,5.860908,7.710824,2.7567749,chromosome 11 open reading frame 95
PRIM2,A_23_P44139,1.78E-05,8.95E-08,5.853738,7.681824,1.857761,primase (DNA) subunit 2
NAP1L1,A_24_P304458,1.78E-05,8.97E-08,5.853407,7.680485,2.919233,nucleosome assembly protein 1 like 1
CD177,A_32_P143589,1.80E-05,9.08E-08,-5.850519,7.66881,-3.9811561,CD177 molecule
TDRKH,A_23_P46351,1.81E-05,9.23E-08,5.846663,7.653221,2.7110293,tudor and KH domain containing
EXOSC5,A_24_P211151,1.81E-05,9.26E-08,5.845835,7.649875,2.2570528,exosome component 5
ZDHHC20,A_23_P341418,1.81E-05,9.30E-08,5.84487,7.645973,1.9558579,zinc finger DHHC-type containing 20
EIF3E,A_23_P43141,1.81E-05,9.34E-08,5.843782,7.64158,2.4421082,eukaryotic translation initiation factor 3 subunit E
ATP6V1F,A_23_P93623,1.81E-05,9.36E-08,5.843488,7.640392,1.6939735,ATPase H+ transporting V1 subunit F
PIBF1,A_23_P411881,1.81E-05,9.38E-08,5.842781,7.637533,2.2196924,progesterone immunomodulatory binding factor 1
OSBPL3,A_24_P377499,1.81E-05,9.44E-08,5.8413,7.63155,2.0035236,oxysterol binding protein like 3
C11orf84,A_23_P313223,1.81E-05,9.52E-08,5.839481,7.624202,2.6197569,chromosome 11 open reading frame 84
ANGPT2,A_23_P60079,1.81E-05,9.54E-08,5.838943,7.622026,3.0402276,angiopoietin 2
EIF5A2,A_24_P385739,1.82E-05,9.67E-08,5.835841,7.609498,2.811941,eukaryotic translation initiation factor 5A2
CDH3,A_23_P49155,1.82E-05,9.69E-08,5.835206,7.606933,3.4460498,cadherin 3
ATP6V1C1,A_23_P146058,1.82E-05,9.70E-08,5.8349,7.605699,2.4903519,ATPase H+ transporting V1 subunit C1
EIF1AX,A_23_P137876,1.94E-05,1.04E-07,5.818266,7.53856,2.1283768,"eukaryotic translation initiation factor 1A, X-linked"
ACAN,A_23_P307310,1.98E-05,1.07E-07,5.812582,7.515634,3.1401601,aggrecan
C6orf1,A_23_P411379,1.98E-05,1.07E-07,5.811954,7.513104,1.9083195,chromosome 6 open reading frame 1
HMGB1,A_23_P99980,2.06E-05,1.12E-07,5.800694,7.467719,2.0330426,high mobility group box 1
,A_24_P32627,2.08E-05,1.14E-07,5.797738,7.455812,3.5869847,
FAM92A1,A_32_P103695,2.11E-05,1.16E-07,5.793278,7.437851,3.2173807,family with sequence similarity 92 member A1
ASAP1,A_23_P216278,2.15E-05,1.19E-07,5.787703,7.415404,2.5742935,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
,A_32_P77742,2.15E-05,1.19E-07,5.787439,7.41434,4.6996483,
GTF2I,A_32_P88791,2.15E-05,1.19E-07,5.786083,7.408883,1.6549655,general transcription factor IIi
SHFM1,A_23_P42664,2.16E-05,1.20E-07,5.784184,7.40124,1.5715256,split hand/foot malformation (ectrodactyly) type 1
,A_24_P349636,2.17E-05,1.22E-07,5.782009,7.392491,2.3191155,
TMEM123,A_24_P309415,2.19E-05,1.23E-07,5.778535,7.378512,2.0446632,transmembrane protein 123
,A_24_P33607,2.26E-05,1.28E-07,5.770343,7.345568,2.3573539,
SLC7A5,A_24_P335620,2.28E-05,1.30E-07,5.76715,7.332732,3.2658376,solute carrier family 7 member 5
,A_23_P127805,2.29E-05,1.31E-07,5.76401,7.320113,3.3895074,
RHEBL1,A_23_P2307,2.29E-05,1.32E-07,5.76351,7.318104,2.6269569,Ras homolog enriched in brain like 1
POT1,A_24_P309105,2.29E-05,1.32E-07,5.763061,7.316299,2.229903,protection of telomeres 1
RPL39,A_23_P34018,2.30E-05,1.33E-07,5.761244,7.309,1.7968567,ribosomal protein L39
MORC2,A_23_P155027,2.30E-05,1.34E-07,5.759558,7.302226,1.3916273,MORC family CW-type zinc finger 2
MYC,A_23_P215956,2.34E-05,1.36E-07,5.755364,7.285379,2.7380075,v-myc avian myelocytomatosis viral oncogene homolog
RAG1,A_23_P360744,2.34E-05,1.37E-07,5.753279,7.277009,2.869583,recombination activating gene 1
IFITM3,A_23_P87545,2.34E-05,1.37E-07,5.75312,7.276371,2.6862995,interferon induced transmembrane protein 3
GTF2F2,A_23_P14132,2.41E-05,1.42E-07,5.74526,7.244819,1.896619,general transcription factor IIF subunit 2
PCMTD2,A_23_P210829,2.42E-05,1.44E-07,5.742951,7.235555,2.3531258,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
CAMTA1,A_32_P4985,2.44E-05,1.45E-07,5.73992,7.223393,3.7445121,calmodulin binding transcription activator 1
